bill_summary,summary,category,policy_text,type,website
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 1),Summary for Bill 1: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 1,Policy 1,Infrastructure Development,https://www.transportation.gov/infrastructure
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 2),Summary for Bill 2: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 2,Policy 2,Public Health,https://www.healthcare.gov
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 3),Summary for Bill 3: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 3,Policy 3,Nutritional Support,https://www.usa.gov/food-stamps
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 4),Summary for Bill 4: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 4,Policy 4,Small Business Support,https://www.sba.gov/funding-programs
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 5),Summary for Bill 5: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 0,Policy 5,Economic Stimulus,https://www.usa.gov/economic-stimulus
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 6),Summary for Bill 6: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 1,Policy 6,Infrastructure Development,https://www.transportation.gov/infrastructure
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 7),Summary for Bill 7: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 2,Policy 7,Public Health,https://www.healthcare.gov
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 8),Summary for Bill 8: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 3,Policy 8,Nutritional Support,https://www.usa.gov/food-stamps
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 9),Summary for Bill 9: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 4,Policy 9,Small Business Support,https://www.sba.gov/funding-programs
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 10),Summary for Bill 10: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 0,Policy 10,Economic Stimulus,https://www.usa.gov/economic-stimulus
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 11),Summary for Bill 11: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 1,Policy 11,Infrastructure Development,https://www.transportation.gov/infrastructure
